text,label
"What's the difference, in practice? It amounts to your saying, it's disgusting but should be legal, ***or*** someone else saying, let's allow the parties involved to decide what is disgusting. Or, if you're like me, you think that it ISN'T a coercive law, because some children can't make informed consent. Brian",talk.politics.misc
"(NOTE: cross-posted to alt.politics.italy and talk.politics.misc This is a reply to an article by Ed Ipser which also appeared in alt.politics.usa.misc and alt.politics.libertarian, but no longer belongs) I hate to defend Ed (the article was very poorly written) but here goes: Italy's per-capita debt is much higher than USA's. This is *exactly* what the public in France & Italy perceive to be the problem-- thus the French election and Italian pulizia. Regarding the post-pulizia Italy: Wrong. This is true perhaps only for the Lega Nord. The referendum Sunday is expected to establish a British/American style first-past-the-post system in the Senate. If implemented, it would encourage a two- (or perhaps three-) party system in Italy. Most likely the DC and PSI will not be these parties; rather there will be a shakeup of the entire party structure from which 2 new parties will emerge to dominate. Will Lega Nord be one of these? Who knows. (The Camera dei Deputati (lower house) will likely remain with Proportional Representation for a while, but there is talk of switching a portion of that house, too. Maybe as much as 40% first-past-the-post) Overall, the electoral reform in Italy is a welcome change. Italians are tired of having crappy government. Porn stars, Pavarotti's and Hunters & Fishers won't gain seats because PR is dead. A good two-party system will bring Italy efficient, accountable government. It's about time.",talk.politics.misc
"Hmmmm, I'm not sure this is true. According to Mike Lang and good old Stagie, along with the rest of the TV crews in pittsburgh, they winning streak could have stopped because it is a regular season mark. I would think this would also hold with an unbeaten streak for regular season games.",rec.sport.hockey
"Ok, it seems that everyone else in canada was treated to the REAL ABC telecast while only the people on ROGERS TV in Surrey BC were treated to two channels with Don ""I stink as a Commentator"" Whitman doing the play-by-play.",rec.sport.hockey
"No. Patrick Roy is the reason the game was lost, and Ron Hextall is the reason Quebec won. Everybody said it would come down to goaltending, that goaltending was the key, etc etc. Well, the key doesn't quite fit if you're Montreal. The Dionne penalty was kind of a cheesy call, but let's face it; he literally left his feet to throw an elbow. Blaming Stewart is just an excuse to avoid facing the fact that Roy allowed what was one of the worst goals he could possibly allow. He even saw the whole shot, dammit. Besides, Stewart evened things up a bit by calling a Quebec penalty in OT. Montreal played a solid game (although they still don't know how to clear traffic in front of the net; the loss of Schneider will hurt even more). Normally I would say that any team that blows a 2-goal lead with less than five, let alone two, minutes to go in regulation time IN A PLAYOFF GAME ESPECIALLY needs to be smacked upside their collective heads. But I don't think this was a team loss (although Keane should have been able to clear the zone just prior to the first Quebec goal). Roy is paid big money to play. He looked like a player in an industrial league on Sakic's shot. Demers should start Racicot in the next game. If not that, he should let the damn team read the papers for the next day or two....and maybe this article, if possible. I didn't think the wrap-around was as bad as the second goal. I also didn't think Scott Young should have gotten around the defender (can't remember who) in the first place. But you are correct, it shouldn't have gone in regardless. Yep. Moog looked bad on Mogilny's goal with five seconds left in the second, IMO. How about Neely though? Holy shit, what a player. Speaking of great players, man-oh-man can Quebec skate. I haven't seen a team so potent on the rush in a long time. Watching them break out of their zone, especially Sundin, is a treat to watch. They remind me of the Red Army. But I still hate the team. On the rest of the games: Didn't St. Louis",rec.sport.hockey
"Obviously, it is ultimately the teams choice...the NHL would obviously prefer not to annoy the European hockey federations, but the NHL right now cannot force NHL teams to free their players...the Whalers probably did it this way so as to not annoy their farm team affiliate.",rec.sport.hockey
"I am glad that you recognize that people should not engage in denial and repression, and should acknowledge such. The United States, with its people, have recognized that repression has taken place, with the loss and outright abrogation of civil liberties and constitutional protections of citizens. This recognition has taken the form of the civil rights law (let's just discuss the federal level for now), such as 18 USC 241 et. seq., 42 USC 1981 et. seq, et. al. With this recognition of repression, at times manifested in the form of collective guilt, I want people to recognize denial. Though it can be said that white people numerically commit more crimes in the United States, because white people are a majority, it can also be said that black people commit a disproportionate amount of crime in the United States, in their relation to their numbers in population. My views are out of experiences when I was a police officer in a large metropolitan area, and of a citizen. Unless people account for their behavior, and for the behavior of their immediate community, nothing will improve. Regards,",talk.politics.misc
.. and Chuck Yeager earlier flights with the X-1...,sci.space
"THE WHITE HOUSE Office of the Press Secretary For Immediate Release April 14, 1993 PRESIDENT NAMES OFFICIALS AT TRANSPORTATION, COMMERCE, DEFENSE, AND OPIC (Washington, DC) President Clinton announced his intention today to nominate Albert Herberger to be Administrator of the Federal Maritime Administration, Loretta Dunn to be Assistant Secretary of Commerce for Import Administration, and Christopher Finn to be Executive Vice President of the Overseas Private Investment Corporation. Additionally, he has approved the appointments of Joan Yim to be Deputy Administrator of the Federal Maritime Administration, Alice Maroni to be Principal Deputy Comptroller of the Department of Defense, and Deborah Castelman to be Deputy Assistant Secretary of Defense for Command, Control, and Communications. ""We are continuing to move forward with putting together a government of excellent, diverse Americans who share my commitment to changing the way that Washington works,"" said the President. ""These six people I am naming today fit that bill."" Biographical sketches of the nominees are attached. ### BIOGRAPHICAL SKETCHES OF NOMINEES April 14, 1993 Albert Herberger, a thirty-five year Navy veteran who retired with the rank of Vice Admiral, is the Vice President of the International Planning and Analysis Center (IPAC). Among the positions he held during his naval service were Deputy Commander- in-Chief of the U.S. Transportation Command, Director of Logistics on Staff for the Atlantic Fleet Commander-in-Chief, and Director of the Military Personnel Policy Division for the Office of Naval Operations. A surface warfare expert and a merchant marine officer with over eighteen years operational experience, Herberger is also Vice Chairman of the National Defense Transportation Association's Sealift Committee. He is a graduate of the U.S. Merchant Marine Academy and the Naval Postgraduate School. Loretta Dunn has served on the staff of the Senate Committee on Commerce, Science, and Transportat",talk.politics.misc
"Hello everyone, I was hoping someone could help me out. I'm writing a program for my astronautics class for assent of the shuttle into a low orbit. There are two things I'd like to know, First, how much time elapses between launch and the pitch over. Second, what is the cross-sectional area of the shuttle, srb's, and ext. tank. Thanks for any information, post or e-mail.",sci.space
Right Gerald. And take away Bob Probert and the Wings are dead Octopuses. Let's wait for the body to get cold before we start in with the eulogies hm? They have only lost ONE game. The game was in Detroit after all and Potvin did not have his best evening. Nobody that I saw thought that the Leafs would sweep the Wings. It looks like it might go six. The Leafs will take the Wings home advantage away in the next game. --,rec.sport.hockey
"That is an idea.. The most efficient moon habitat.. also the idea of how to get the people off the moon once the prize was won.. Also the idea of how to rescue someone who is ""dying"" on the moon. Maybe have a area where they can all ""see"" each other, and can help each other if something happens.. I liek the idea of one prize for the first moon landing and return, by a non-governmental body.. Also the idea of then having a moon habitat race.. I know we need to do somthing to get people involved.. Eccentric millionaire/billionaire would be nice.. We see how old Ross feels about it.. After all it would be a great promotional thing and a way to show he does care about commericalization and the people.. Will try to broach the subject to him.. Moonbase on the cheap is a good idea.. NASA and friends seem to take to much time and give us to expensive stuff that of late does not work (hubble and such). Basically what is the difference between a $1mil peice of junk and a multi $1mil piece of junk.. I know junk..",sci.space
"If by that you mean anything on the GD approach, there was an article on it in a recent Avation Week. I don't remember the exact date but it was recent. Allen",sci.space
"What kind of brainless clod doesn't understand the difference between a ""PROPOSED BILL, BLOCKED IN CONGRESS"" and an ""EXECUTIVE ORDER, ISSUED BY CLINTON, AND CRAMMED DOWN OUR THROATS"". Here, let me give a remedial course in thinking: In order to create the appearance of low interest rates, Uncle Sam has shifted his debt from long-term to short-term securities. In effect, Uncle Sam has transformed the Federal Goverment into one giant S&L, waiting to blow. Short-term rates rise ---> Interest payments on Deficit rise ---> Uncle Sammy has to borrow more ----> Causing Short-term rates to rise. Uncle Sammy gets caught in a positive feedback loop. His options: i) Raise taxes a truly unimaginable amount ii) Make truly unimaginable spending cuts Results of i): large numbers of pissed-off citizens Results of ii): large numbers of pissed-off citizens",talk.politics.misc
"nsmca> So some of my ideas are a bit odd, off the wall and such, but nsmca> so was Wilbur and Orville Wright, and quite a few others.. This is a common misconception. There was nothing ""off the wall"" about the Wright Brothers. They were in correspondance with a number of other experimenters (Octave Chanute, Lillienthal, etc), they flew models, they had a wind tunnel. In short, they were quite mainstream and were not regarded as odd or eccentric by the community. I suggest you read The Bishop's Boys or the biography by Harry Gates? Combs? (I can never remember which it is--the guy that had the FBOs and owned Learjet for a while). These are both in print and easily obtainable. The Bishop's Boys is in trade paperback, even. Even better would be the multi-volume set of the Wrights' writings, but this is out of print, rare, and hideously expensive.",sci.space
It's only test message.,rec.sport.hockey
"As I heard the story, before Albert came up the the theory o'relativity and warped space, nobody could account for Mercury's orbit. It ran a little fast (I think) for simple Newtonian physics. With the success in finding Neptune to explain the odd movments of Uranus, it was postulated that there might be another inner planet to explain Mercury's orbit. It's unlikely anything bigger than an asteroid is closer to the sun than Mercury. I'm sure we would have spotted it by now. Perhaps some professionals can confirm that.",sci.space
"Chris Chelios was Montreal's co-captain with Guy Carbonneau when he was traded to Chicago for Denis Savard, and Peter Stastny was captain of the Quebec Nordiques when he was traded to New-Jersey. Also Mark Messier was captain of the Edmonton Oilers when he was traded to New-York. How about Dale Hawerchuk with Winnipeg when he was traded to Buffalo, was he captain too ? I think so. I should not forget Wayne (you know who) when he was traded to L.A. he was captain. Didn't they strip Wendel Clark of his capta incy in Toronto ? Just some updates and thoughts. Cheer... ------------------------------------------------------------------------------- Daniel Piche (LMC/U/DET - Design) Ericsson Communications Inc. 8400 Decarie Blvd, 1rd floor Town of Mont Royal, Quebec. H4P 2N2 (514)-738-8300 ext. 2178. E-mail: LMCDAPI@LMC.ERICSSON.SE MEMOid: LMC.LMCDAPI CHEERS.....",rec.sport.hockey
"I assume, then, that someone at Thiokol put on their ""manager's hat"" and said that pissing off the customer by delaying shipment of the SRB to look inside it was a bad idea, regardless of where that tool might have ended up.",sci.space
"Lets hear it for Dan Goldin...now if he can only convince the rest of our federal government that the space program is a worth while investment! I hope that I will live to see the day we walk on Mars, but we need to address the technical hurdles first! If there's sufficient interest, maybe we should consider starting a sci.space group devoted to the technical analysis of long-duration human spaceflight. Most of you regulars know that I'm interested in starting this analysis as soon as possible.",sci.space
"But only in NY,NJ, Philadelphia, and Chicago. Everywhere else, the only reason SportsChannel was available was for local baseball broadcasts. And local baseball pre-empted the NHL playoffs. Thus far into this playoff season, ESPN/ABC has given me more hockey in 2 days (1 game) than SportsChannel did (0 games). If people want hockey on TV, they should watch hockey on TV. I bet the ratings for hockey on Sunday on ABC went into the toilet. Next week, there will be far fewer ABC affiliates with hockey. Someone in this thread said that he wouldn't watch the games even if they were on TV, and this is a r.s.h. regular contributor! Xenophobes north of border needn't fear the US-Americanization of ""our"" game, because US-Americans will never figure out how to market hockey here. Support your team; support your game.",rec.sport.hockey
"+++ ++Once inflated the substance was no longer ++needed since there is nothing to cause the balloon to collapse. ++This inflatable structure could suffer multiple holes with no ++disastrous deflation. + +preasure (and the internal preasure that was needed to maintain +a spherical shape against this resistance) caused them to +catastrophically deflated. The large silvered shards + +The billboard should pop like a dime store balloon. No, you're wrong about this. Give me some time to get my references.",sci.space
"In reference to the limits of acceleration with guns launching solid rockets as payloads. Thiokol provided me with samples and data on a reinforcement to solid motor grains for high accelerations. Solid motor propellants usually have a substantial percentage of aluminum in the mix. For example, the Space Shuttle SRBs are 16 percent Aluminum. The technique is to use a 'foamed aluminum' structure. The structure looks like the inverse of a set of bubbles (an I suspect some bubbling process is used to form it). In other words, if you made a bunch of bubbles in molten aluminum, then froze it, this is what you get. It forms a strong network of effectively aluminum wires in all directions. The remaining solid fuel mix is infiltrated into the voids, and you get aluminum-reinforced solid propellant. The foamed-aluminum makes up about 6 percent of the total propellant, so there is still aluminum particles in the bulk grain. The major improvement is the higher resistance to grain cracking, which is the principal failure mode for solid propellant. Dani Eder",sci.space
Thanks for these surreal moments.... Srinivas,sci.space
"Gulp. [Disclaimer: This opinion is mine and does not represent the views of Fermilab, Universities Research Association, the Department of Energy, or the 49th Ward Regular Science Fiction Organization.]",sci.space
"Well, here it is, NHL in the year 2000. I got these from a very reliable source in a dream some years ago and although I initially thought I had just been taking too many too strong drugs now it seems the realization has really begun... You can see the league has already started to move to this direction. *The Walt Disney Conference* Anaheim Mighty Chipmunks -Franchise name to be changed after each new LA Kings hockey movie LA Flames -We've seen some of that San Jose Sharks San Diego Bruins Tijuana Red Wings -Detroit's hockey team will follow its car industry... Dallas Stars Houston Oilers Texas Rangers Seattle Canucks *The Norm Green Conference* Alabama White Hawks Biloxi Blues Tampa Bay Lightning Miami Blades Helsinki Jets -You've heard them starting getting used to the anthem Montreal Quebecois (sp?) -There will be no 'Canada' Atlanta Devils Orlando Penquins Key West Islanders Hartford Whalers The Whalers will never move, huh? Palm Beach Capitals Now that the Anahaim team is becomming real I'm really beginning to believe the rest of the 'message'. I'm sure the future will turn you into believers too. After 2000 the NHL will abandond ice-rinks. It's so expensive to cool down the rinks in the subtropics and the locals hardly know what ice is anyway. NHL will become a roller skating hockey league. That way it can create more public interest in the game when local supporteres can play the game in their back yards !",rec.sport.hockey
"Why would you want to do that? The goal is to do it cheaper (remember, this isn't government). Instead of leasing an expensive launch pad, just use a SSTO and launch from a much cheaper facility. Allen",sci.space
"The gravity maneuvering that was used was to exploit 'fuzzy regions'. These are described by the inventor as exploiting the second-order perturbations in a three body system. The probe was launched into this region for the earth-moon-sun system, where the perturbations affected it in such a way as to allow it to go into lunar orbit without large expenditures of fuel to slow down. The idea is that 'natural objects sometimes get captured without expending fuel, we'll just find the trajectory that makes it possible"". The originator of the technique said that NASA wasn't interested, but that Japan was because their probe was small and couldn't hold a lot of fuel for deceleration. This from an issue of 'Science News' or 'The Planetary Report' I believe, about 2 months ago(?).",sci.space
"# ## Absolutely nothing, seeing as there is no table for heterosexuals. # ## If, as you claim, the supposedly higher promescuity amongst homosexual # ## males makes them an insurance risk, you need to be show that # ## heterosexual males are less promiscuous than homosexual males. # ## Without the data on heterosexual males, we cannot make a comparison # ## between promiscuity rates of heterosexuals and homosexuals. # ## # ## * mjcugley@maths-and-cs.dundee.ac.uk (world) * # ## * or mjcugley@uk.ac.dund.maths-and-cs (UK) * # # Well, the obvious point to make is would straight men fuck like rabbits # if the oppertunity presented itself? # # I reckon *any* *man* would go wildly promiscuous if presented with a # huge variety of willing partners. The question here is not of being That, I suppose, says a lot about how screwed up you are. # #Clayton E. Cramer {uunet,pyramid}!optilink!cramer My opinions, all mine! # Xavier",talk.politics.misc
"The difference in the litigation environment is reflected in the fees. Lack of defensive medicine and near-absence of malpractice is really why we spend less using the most expensive approach of pure insurance in Canada (along with France and Germany) without HMO's --- the NYT has admitted that malpractice insurance fees are an order of magnitude lower in Canada but doctors take-home pay is almost equal to American doctors; also, minimal bureaucracy 'cos the system is so-o-o simple (early March). Part of the deal for using the all-insurance approach like the French and Germans do (hey, why don't they criticize France and Germany? Is it because too many people take French and German in college to make the accusations stick? (-;) was to preserve the doctors independance. Since the provincial wings of the CMA are the ones that go to bat when the fee schedule hikes are presented, the politically-bent doctors were just cackling when they realized the CMA would grow in strength rather than diminish, especially when unopposed unlike in socialized medicine approaches like Britain's National Health Service. For non-life threatening things, market arguments adequately cover why certain procedures are in scarcer demand. I have MD friends who can't make a living as specialists back in Manitoba not due to the insurance rates but because they won't get enough customers -- the CMA medical monopoly's grip on doctors licencing (as in the US) aside -- so they must move to larger places. However, this does not refute debunking of waiting lines for urgent AND routine care, as has been done in the U.S. by Consumers Reports, health policy studies cited by Prof. Dennis E. Shea on USENET, CNN, NYT, etc. Doug Fierro has posted a NYT article from 3 weeks ago about Canada's health insurance approach, on Talk.politics.medicine. There is one small error in the article: not all of our hospitals are private. Of course, the one thing to note is that in the Canada/France/Germany case, private insur",talk.politics.misc
"It's bad jokes like that which draws crohns, I mean groans from the crowd... Don't bother looking it up in the appendix, it's useless anyway. Just one more word of advice... If you go to a Miami game, stay away from any foods made with ""natural casings"" :) --",rec.sport.hockey
"It's not really crap you know... only half crap ;-) From what i understand it's very expensive to play hockey south of the border... (actually it's not that cheap up hear either... though once you have all the equipement it's not more than $300 a year... actually i haven' played in about 8 years so i could be off a bit... ) In the states, where ice time is considerably more expensive it can cost over a thousand a year... compare this to baseball and you'll see that hockey is a sport for the well-to-do... And this brings up the fact that the well-to-do in the US are majority white... BTW: what was the original question... i think it has to do with the Hispanic communtiy and playing hockey.... Cheers! i. ------------------------------------------------------------------------------",rec.sport.hockey
"I do read Av Week and don't remember this. Could you supply the date of the magazine? As for C-17 vs. C-5 , the C-17 can't carry as much but has more capability ( read : can land at smaller airfields of which there are more of ) than the C-5. Now is the C-17 pork? It depends on whether your job relies on it or not. :) In California right now, I would say that it is not pork since due to peace dividend so many people are out of work. Huh? Shouldn't that read ""The question is whether a social-pork happy Les Aspin and Clinton will be able to face down a jobs-pork happy Congress.""",talk.politics.misc
"Your comment here is meant as a put down. It fails for several reasons : 1) You have edited out the context of the action under discussion. 2) I never brought the legal definition up. I use the English language and not the legal dialect. The legal definition of fraud changes from one country to another in any case. The context of the discussion is morality of censorship. You are extrapolating from the statement I made concerning a circumstance in which such an act of censorship would be permissable to the Teel case. If you had bothered to read the post instead of trying to prove how stupid you thought me you would have done rather better. The mode of argument I was using was a form of rhetoric. Argument by example, I describe a wide set of circumstances in which an action is permisable and demonstrate that they do not apply, thus the action is not permisable. Obviously a company posting from a University adress would be squashed, it would be contrary to the internet comercial use. Now you are clutching at straws. In the context of the discussion it was the fact of association between the company and the post that was important. The typeface etc is inconsequential. If you are implying that I am lying I suggest you read Mark Holohan and Ulick Staffords posts into soc.culture.british. If you are suggesting that advocating murder is a trivial matter I would prefer that you state it directly. Certainly I oppose the right of Dr Sidiqui and the Ayatolah Khomenhi to call for the murder of Salman Rushdie. Incitement to murder is not part of what I consider legitimate freedom of speech. That is irrelevant, the case is not the incremental cost but the facility cost. If I decide that a company I am associated with should subscribe to USEnet that usenet connection is the property of the company. It is quite legitimate for a company to have a political or other agenda and regulate the use of its property in accordance with its policy. For example if a Microsoft employee were to p",talk.politics.misc
"And of course, Mike Ramsey was (at one time) the captain in Buffalo prior to being traded to Pittsburgh. Currently, the Penguins have 3 former captains and 1 real captain (Lemieux) playing for them. They rotate the A's during the season (and even the C while Mario was out). Even Troy Loney has worn the C for the Pens. -Jay",rec.sport.hockey
"You are hereby authorized not to laugh. By special dispensation of her Hillariness. This offer void where prohibited by law, consumer must pay applicable sales tax..... -- -------------------------------------------------------------------------",talk.politics.misc
"Some birds require constant management for survival. Pointing a sensor at the sun, even when powered down, may burn it out. Pointing a parabolic antenna at Sol, from venus orbit may trash the foci elements. Even if you let teh bird drift, it may get hosed by some cosmic phenomena.",sci.space
"I have come to the conclusion that the TV stations here in LA WANT a riot to happen when the verdict comes in. In a not so subtle way they are preparing their audience for the worst and even going so far as to want SOMETHING to happen for their viewers with all their commercials and their ""we are ready for anything so watch US"" messages... carlos.",talk.politics.misc
"For those Leaf fans who are concerned, the following players are slated for return on Thursday's Winnipeg-Toronto game : Peter Zezel, John Cullen Mark Osborne and Dave Ellett are questionable to return on Thursday.",rec.sport.hockey
"I only have one comment on this: You call this a *classic* playoff year and yet you don't include a Chicago-Detroit series. C'mon, I'm a Boston fan and I even realize that Chicago-Detroit games are THE most exciting games to watch.",rec.sport.hockey
"I think that they go to divisional records before goals, but I could be wrong, too. -- Keith Keller LET'S GO RANGERS!!!!! LET'S GO QUAKERS!!!!! kkeller@mail.sas.upenn.edu IVY LEAGUE CHAMPS!!!!",rec.sport.hockey
"On Sat, 17 Apr 1993 20:42:58 GMT, Greg Hennessy observed: : #Tells you something about the fascist politics being practiced .... : Ah, ending discrimination is now fascism. Is that what they called it when Truman forced integration of the armed forces, despite the opposition of Congress and most of the American public at that time? -- Michael D. Adams (starowl@a2i.rahul.net) Enterprise, Alabama",talk.politics.misc
